,acep-region,year,Fossil Turbine,Recip Engine,Hydro,Wind,Utility Solar,Rooftop Solar,Storage,Landfill Gas
10,Rural Remote,2011,17.0,227.0,2.0,8.0,0.0,0.0,0.0,0.0
11,Rural Remote,2012,17.0,227.0,2.0,13.0,0.0,0.0,0.0,0.0
12,Rural Remote,2013,17.0,223.0,2.0,15.0,0.0,0.0,0.0,0.0
13,Rural Remote,2018,43.0,268.0,3.0,18.0,0.0,0.0,1.0,0.0
14,Rural Remote,2021,43.0,273.0,3.0,15.0,1.0,0.0,3.0,0.0
