year,Coal,Gas,Hydro,Oil,Other,Solar,Storage,Wind
2011,0.08,0.73,0.08,0.11,0.0,0.0,0.0,0.0
2012,0.08,0.68,0.11,0.12,0.0,0.0,0.0,0.01
2013,0.08,0.7,0.11,0.09,0.0,0.0,0.0,0.03
2014,0.12,0.67,0.11,0.07,0.0,0.0,0.0,0.03
2015,0.14,0.63,0.12,0.08,0.0,0.0,0.0,0.03
2016,0.13,0.63,0.13,0.09,0.0,0.0,-0.0,0.03
2017,0.12,0.66,0.11,0.1,0.0,0.0,-0.0,0.02
2018,0.14,0.62,0.14,0.08,0.0,0.0,-0.0,0.03
2019,0.15,0.58,0.14,0.1,0.0,0.0,-0.0,0.02
2020,0.15,0.55,0.15,0.12,0.0,0.0,-0.0,0.02
2021,0.15,0.61,0.12,0.1,0.0,0.0,-0.0,0.02
