year,Coal,Oil,Gas,Hydro,Solar,Storage,Other,Total
2011,0.0,107.75,0.0,934.91,0.0,0.0,0.0,1055.03
2012,0.0,91.61,0.0,1093.18,0.0,0.0,0.0,1201.1
2013,0.0,88.02,0.0,1044.8,0.0,0.0,0.0,1159.53
2014,0.0,65.14,0.0,983.7,0.0,0.0,0.0,1072.16
2015,0.0,63.91,0.0,985.05,0.0,0.0,0.0,1078.07
2016,0.0,62.71,0.0,1062.92,0.0,0.0,0.0,1154.94
2017,0.0,69.38,0.0,1109.43,0.0,0.0,0.0,1202.96
2018,0.0,84.66,0.0,1029.84,0.0,-0.58,0.0,1140.08
2019,0.0,87.77,0.0,970.81,0.0,-0.62,0.0,1082.98
2020,0.0,72.31,0.0,964.09,0.0,-0.59,0.0,1060.49
2021,0.0,77.16,0.0,1136.81,0.0,-0.62,0.0,1238.58
