year,Coal,Oil,Gas,Hydro,Solar,Storage,Other,Total
2011,387.16,559.43,3731.56,398.75,0.0,0.0,0.0,5078.29
2012,416.72,603.27,3444.1,546.09,0.0,0.0,0.0,5042.56
2013,378.91,399.69,3230.02,494.12,0.0,0.0,0.0,4620.13
2014,558.29,325.63,3213.64,547.74,0.0,0.0,0.0,4769.39
2015,667.55,359.6,2985.7,580.37,0.0,0.0,0.0,4720.57
2016,594.14,430.96,2954.2,594.09,0.0,-2.39,0.0,4705.32
2017,555.71,460.08,3156.95,532.01,0.0,-2.71,0.0,4813.87
2018,628.56,384.7,2875.95,632.43,0.0,-2.43,0.0,4641.06
2019,683.06,456.34,2614.83,650.66,0.13,-3.28,0.0,4514.04
2020,721.79,576.87,2569.26,697.67,1.72,-2.81,0.0,4661.64
2021,752.89,482.67,3022.15,567.39,1.22,-3.43,0.0,4924.96
