year,Coal,Gas,Hydro,Oil,Other,Solar,Storage,Wind
2011,0.0,0.0,0.89,0.1,0.0,0.0,0.0,0.01
2012,0.0,0.0,0.91,0.08,0.0,0.0,0.0,0.01
2013,0.0,0.0,0.9,0.08,0.0,0.0,0.0,0.02
2014,0.0,0.0,0.92,0.06,0.0,0.0,0.0,0.02
2015,0.0,0.0,0.91,0.06,0.0,0.0,0.0,0.03
2016,0.0,0.0,0.92,0.05,0.0,0.0,0.0,0.03
2017,0.0,0.0,0.92,0.06,0.0,0.0,0.0,0.02
2018,0.0,0.0,0.9,0.07,0.0,0.0,-0.0,0.02
2019,0.0,0.0,0.9,0.08,0.0,0.0,-0.0,0.02
2020,0.0,0.0,0.91,0.07,0.0,0.0,-0.0,0.02
2021,0.0,0.0,0.92,0.06,0.0,0.0,-0.0,0.02
