year,plant_name,oil,gas,coal,hydro,wind,solar,storage,other,aea_energy_region,source,data_version
2011,Akiachak,1851.534,0,0,0,0,,,,Lower Yukon-Kuskokwim,PCE,Final
2011,Akiak,1029.531,0,0,0,0,,,,Lower Yukon-Kuskokwim,PCE,Final
2011,Akutan,489.5706,0,0,42.111,0,,,,Aleutians,PCE,Final
2011,Annex Creek,0,0,0,22270,0,,,,Southeast,EIA,Final
2011,Auke Bay,1119,0,0,0,0,,,,Southeast,EIA,Final
2011,Gold Creek,23,0,0,4838,0,,,,Southeast,EIA,Final
2011,Lake Dorothy,0,0,0,70602,0,,,,Southeast,EIA,Final
2011,Lemon Creek,2283,0,0,0,0,,,,Southeast,EIA,Final
2011,Salmon Creek 1,0,0,0,24337,0,,,,Southeast,EIA,Final
2011,Snettisham,0,0,0,263749,0,,,,Southeast,EIA,Final
2011,Alaska Environmental,0,0,0,0,1394,,,,Railbelt,EIA,Final
2011,Allakaket,655.368,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Bettles,573.845,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Chistochina,-2.148,0,0,0,0,,,,Copper River/Chugach,PCE,Final
2011,Coffman Cove,632.583,0,0,0,0,,,,Southeast,PCE,Final
2011,Craig,2779,0,0,0,0,,,,Southeast,EIA,Final
2011,Viking,65,0,0,0,0,,,,Southeast,EIA,Final
2011,Black Bear Lake,0,0,0,17791,0,,,,Southeast,EIA,Final
2011,South Fork,0,0,0,6115,0,,,,Southeast,EIA,Final
2011,Tok,-0.6,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Eagle,749.742,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Goat Lake,0,0,0,15831,0,,,,Southeast,EIA,Final
2011,Haines,185,0,0,0,0,,,,Southeast,"EIA, PCE",Final
2011,Skagway,95,0,0,3000.12,0,,,,Southeast,"EIA, PCE",Final
2011,Healy Lake,83.3,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Hollis,-12.348,0,0,0,0,,,,Southeast,PCE,Final
2011,Hydaburg,23,0,0,0,0,,,,Southeast,EIA,Final
2011,Mentasta Lake,237.108,0,0,0,0,,,,Copper River/Chugach,PCE,Final
2011,Naukati Bay,449.908,0,0,0,0,,,,Southeast,PCE,Final
2011,Northway,1286,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,EIA,Final
2011,Kasidaya Creek,0,0,0,7965,0,,,,Southeast,EIA,Final
2011,Slana,1150.458,0,0,0,0,,,,Copper River/Chugach,PCE,Final
2011,Tok,0,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,False Island,929,0,0,0,0,,,,Southeast,EIA,Final
2011,Thorne Bay Plant,119,0,0,0,0,,,,Southeast,EIA,Final
2011,Tok,10400,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Whale Pass,267.042,0,0,0,0,,,,Southeast,PCE,Final
2011,Alakanuk,1946.208,0,0,0,0,,,,Lower Yukon-Kuskokwim,PCE,Final
2011,Ambler,1277.774,0,0,0,0,,,,Northwest Arctic,PCE,Final
2011,Anvik,405.42,0,0,0,0,,,,Yukon-Koyukuk/Upper Tanana,PCE,Final
2011,Brevig Mission,1176.332,0,0,0,0,,,,Bering Straits,PCE,Final
2011,Chevak,1657.267,0,0,0,741.629,,,,Lower Yukon-Kuskokwim,PCE,Final
2011,Eek,800.578,0,0,0,0,,,,Lower Yukon-Kuskokwim,PCE,Final
