year,aea_energy_region,plant_name,total,ff-turbines,recip-ice,hydro,wind,utility-solar,batteries,flywheel,other,source,data_version
2021,Lower Yukon-Kuskokwim,Stony River,0.138,0,0.138,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Stevens Village,0.29,0,0.29,0,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Stebbins,2.112,0,2.112,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Southcentral Power Project,203.9,203.9,0,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,South Fork Hydro (Eagle River),1.2,0,0,1.2,0,0,0,0,,EIA860,Early Release
2021,Southeast,South Fork,2,0,0,2,0,0,0,0,,EIA860,Early Release
2021,Copper River/Chugach,Solomon Gulch,12,0,0,12,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Soldotna,96.5,50,0,0,0,0,46.5,0,,EIA860,Early Release
2021,Southeast,Snettisham,78.2,0,0,78.2,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Snake River,18.4,0,16.6,0,1.8,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Sleetmute,0.323,0,0.323,0,0,0,0,0,,EIA860,Early Release
2021,Copper River/Chugach,Slana Generating Station ,1.072,0,1.072,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Skagway,4.385,0,3.385,1,0,0,0,0,,EIA860,Early Release
2021,Southeast,Silvis,2.1,0,0,2.1,0,0,0,0,,AEA PH Assessment,Early Release
2021,Northwest Arctic,Shungnak,1.959,0,1.5,0,0,0.224,0.235,0,,AEA PH Assessment,Early Release
2021,Bering Straits,Shishmaref,1.436,0,1.436,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bering Straits,Shaktoolik,0.985,0,0.785,0,0.2,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Shageluk,0.395,0,0.395,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Seward,15.6,0,15.6,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Seldovia,2.2,0,2.2,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Selawik,2.51,0,2.25,0,0.26,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Scammon Bay,1.08,0,1.08,0,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Savoonga,1.7,0,1.5,0,0.2,0,0,0,,EIA860,Early Release
2021,Aleutians,Sand Point,3.88,0,2.88,0,1,0,0,0,,EIA860,Early Release
2021,Southeast,Salmon Creek 1,8.5,0,0,8.5,0,0,0,0,,EIA860,Early Release
2021,Aleutians,Saint Paul,2.65,0,2.65,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bering Straits,Saint Michael,0.7,0,0.7,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Saint Mary's,3.18,0,2.28,0,0.9,0,0,0,,EIA860,Early Release
2021,Aleutians,Saint George,0.925,0,0.83,0,0.095,0,0,0,,Northwest Arctic Borough,Early Release
2021,Southeast,S W Bailey,25.9,0,25.9,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Russian Mission,0.904,0,0.904,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Ruby,0.527,0,0.527,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Red Devil,,,,,,,,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Rampart,0.26,0,0.26,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Quinhagak,1.58,0,1.28,0,0.3,0,0,0,,EIA860,Early Release
2021,Southeast,Purple Lake,3.9,0,0,3.9,0,0,0,0,,AEA PH Assessment,Early Release
